,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
163,2,frontend,productcatalogservice,frontend@POST@/cart/checkout,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,us-central-1,us-central-1,-1,-1,1.0
164,2,frontend,cartservice,frontend@POST@/cart/checkout,cartservice@POST@/hipstershop.CartService/EmptyCart,us-central-1,us-central-1,-1,-1,1.0
165,2,frontend,checkoutservice,frontend@POST@/cart,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-central-1,us-south-1,-1,-1,1.0
166,2,frontend,recommendationservice,frontend@POST@/cart,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-central-1,us-central-1,-1,-1,1.0
167,2,frontend,cartservice,frontend@POST@/cart,cartservice@POST@/hipstershop.CartService/AddItem,us-central-1,us-central-1,-1,-1,1.0
168,2,frontend,productcatalogservice,frontend@POST@/cart,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,us-central-1,us-central-1,-1,-1,1.0
169,2,frontend,cartservice,frontend@POST@/cart,cartservice@POST@/hipstershop.CartService/EmptyCart,us-central-1,us-central-1,-1,-1,1.0
170,2,frontend,checkoutservice,frontend@POST@/cart,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-central-1,us-south-1,-1,-1,1.0
171,2,frontend,recommendationservice,frontend@POST@/cart,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-central-1,us-central-1,-1,-1,1.0
172,2,frontend,cartservice,frontend@POST@/cart,cartservice@POST@/hipstershop.CartService/AddItem,us-central-1,us-central-1,-1,-1,1.0
173,2,frontend,productcatalogservice,frontend@POST@/cart,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,us-central-1,us-central-1,-1,-1,1.0
174,2,frontend,cartservice,frontend@POST@/cart,cartservice@POST@/hipstershop.CartService/EmptyCart,us-central-1,us-central-1,-1,-1,1.0
175,2,frontend,checkoutservice,frontend@POST@/cart/empty,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-central-1,us-south-1,-1,-1,1.0
176,2,frontend,recommendationservice,frontend@POST@/cart/empty,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-central-1,us-central-1,-1,-1,1.0
177,2,frontend,cartservice,frontend@POST@/cart/empty,cartservice@POST@/hipstershop.CartService/AddItem,us-central-1,us-central-1,-1,-1,1.0
178,2,frontend,productcatalogservice,frontend@POST@/cart/empty,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,us-central-1,us-central-1,-1,-1,1.0
179,2,frontend,cartservice,frontend@POST@/cart/empty,cartservice@POST@/hipstershop.CartService/EmptyCart,us-central-1,us-central-1,-1,-1,1.0
0,3,sslateingress,frontend,sslateingress@POST@/cart/checkout,frontend@POST@/cart/checkout,us-west-1,us-west-1,1000,1716,0.5827505827505828
1,3,sslateingress,frontend,sslateingress@POST@/cart,frontend@POST@/cart,us-west-1,us-west-1,1000,1716,0.5827505827505828
2,3,sslateingress,frontend,sslateingress@POST@/cart/empty,frontend@POST@/cart/empty,us-west-1,us-west-1,1000,1716,0.5827505827505828
3,3,sslateingress,frontend,sslateingress@POST@/setCurrency,frontend@POST@/setCurrency,us-west-1,us-west-1,1000,1716,0.5827505827505828
4,3,sslateingress,frontend,sslateingress@POST@/cart/checkout,frontend@POST@/cart/checkout,us-west-1,us-central-1,605,1716,0.3525641025641026
5,3,sslateingress,frontend,sslateingress@POST@/cart,frontend@POST@/cart,us-west-1,us-central-1,605,1716,0.3525641025641026
6,3,sslateingress,frontend,sslateingress@POST@/cart/empty,frontend@POST@/cart/empty,us-west-1,us-central-1,605,1716,0.3525641025641026
7,3,sslateingress,frontend,sslateingress@POST@/setCurrency,frontend@POST@/setCurrency,us-west-1,us-central-1,605,1716,0.3525641025641026
8,3,sslateingress,frontend,sslateingress@POST@/cart/checkout,frontend@POST@/cart/checkout,us-west-1,us-south-1,111,1716,0.06468531468531469
9,3,sslateingress,frontend,sslateingress@POST@/cart,frontend@POST@/cart,us-west-1,us-south-1,111,1716,0.06468531468531469
10,3,sslateingress,frontend,sslateingress@POST@/cart/empty,frontend@POST@/cart/empty,us-west-1,us-south-1,111,1716,0.06468531468531469
11,3,sslateingress,frontend,sslateingress@POST@/setCurrency,frontend@POST@/setCurrency,us-west-1,us-south-1,111,1716,0.06468531468531469
12,3,sslateingress,frontend,sslateingress@POST@/cart/checkout,frontend@POST@/cart/checkout,us-east-1,us-east-1,437,437,1.0
13,3,sslateingress,frontend,sslateingress@POST@/cart,frontend@POST@/cart,us-east-1,us-east-1,437,437,1.0
14,3,sslateingress,frontend,sslateingress@POST@/cart/empty,frontend@POST@/cart/empty,us-east-1,us-east-1,437,437,1.0
15,3,sslateingress,frontend,sslateingress@POST@/setCurrency,frontend@POST@/setCurrency,us-east-1,us-east-1,437,437,1.0
16,3,sslateingress,frontend,sslateingress@POST@/cart/checkout,frontend@POST@/cart/checkout,us-south-1,us-south-1,398,398,1.0
17,3,sslateingress,frontend,sslateingress@POST@/cart,frontend@POST@/cart,us-south-1,us-south-1,398,398,1.0
18,3,sslateingress,frontend,sslateingress@POST@/cart/empty,frontend@POST@/cart/empty,us-south-1,us-south-1,398,398,1.0
19,3,sslateingress,frontend,sslateingress@POST@/setCurrency,frontend@POST@/setCurrency,us-south-1,us-south-1,398,398,1.0
20,3,sslateingress,frontend,sslateingress@POST@/cart/checkout,frontend@POST@/cart/checkout,us-central-1,us-central-1,395,395,1.0
21,3,sslateingress,frontend,sslateingress@POST@/cart,frontend@POST@/cart,us-central-1,us-central-1,395,395,1.0
22,3,sslateingress,frontend,sslateingress@POST@/cart/empty,frontend@POST@/cart/empty,us-central-1,us-central-1,395,395,1.0
23,3,sslateingress,frontend,sslateingress@POST@/setCurrency,frontend@POST@/setCurrency,us-central-1,us-central-1,395,395,1.0
24,3,checkoutservice,cartservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,cartservice@POST@/hipstershop.CartService/GetCart,us-west-1,us-west-1,-1,-1,1.0
25,3,checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-west-1,us-west-1,-1,-1,1.0
26,3,checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-west-1,us-west-1,-1,-1,1.0
27,3,checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-west-1,us-west-1,-1,-1,1.0
28,3,checkoutservice,cartservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,cartservice@POST@/hipstershop.CartService/GetCart,us-west-1,us-west-1,-1,-1,1.0
29,3,checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-west-1,us-west-1,-1,-1,1.0
30,3,checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-west-1,us-west-1,-1,-1,1.0
31,3,checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-west-1,us-west-1,-1,-1,1.0
32,3,checkoutservice,cartservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,cartservice@POST@/hipstershop.CartService/GetCart,us-west-1,us-west-1,-1,-1,1.0
33,3,checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-west-1,us-west-1,-1,-1,1.0
34,3,checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-west-1,us-west-1,-1,-1,1.0
35,3,checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-west-1,us-west-1,-1,-1,1.0
36,3,checkoutservice,cartservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,cartservice@POST@/hipstershop.CartService/GetCart,us-west-1,us-west-1,-1,-1,1.0
37,3,checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-west-1,us-west-1,-1,-1,1.0
38,3,checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-west-1,us-west-1,-1,-1,1.0
39,3,checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-west-1,us-west-1,-1,-1,1.0
40,3,frontend,checkoutservice,frontend@POST@/cart/checkout,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-west-1,us-west-1,-1,-1,1.0
41,3,frontend,recommendationservice,frontend@POST@/cart/checkout,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-west-1,us-west-1,-1,-1,1.0
42,3,frontend,cartservice,frontend@POST@/cart/checkout,cartservice@POST@/hipstershop.CartService/AddItem,us-west-1,us-west-1,-1,-1,1.0
43,3,frontend,productcatalogservice,frontend@POST@/cart/checkout,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,us-west-1,us-west-1,-1,-1,1.0
44,3,frontend,cartservice,frontend@POST@/cart/checkout,cartservice@POST@/hipstershop.CartService/EmptyCart,us-west-1,us-west-1,-1,-1,1.0
45,3,frontend,checkoutservice,frontend@POST@/cart/checkout,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-west-1,us-west-1,-1,-1,1.0
46,3,frontend,recommendationservice,frontend@POST@/cart/checkout,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-west-1,us-west-1,-1,-1,1.0
47,3,frontend,cartservice,frontend@POST@/cart/checkout,cartservice@POST@/hipstershop.CartService/AddItem,us-west-1,us-west-1,-1,-1,1.0
48,3,frontend,productcatalogservice,frontend@POST@/cart/checkout,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,us-west-1,us-west-1,-1,-1,1.0
49,3,frontend,cartservice,frontend@POST@/cart/checkout,cartservice@POST@/hipstershop.CartService/EmptyCart,us-west-1,us-west-1,-1,-1,1.0
50,3,frontend,checkoutservice,frontend@POST@/cart,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-west-1,us-west-1,-1,-1,1.0
51,3,frontend,recommendationservice,frontend@POST@/cart,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-west-1,us-west-1,-1,-1,1.0
52,3,frontend,cartservice,frontend@POST@/cart,cartservice@POST@/hipstershop.CartService/AddItem,us-west-1,us-west-1,-1,-1,1.0
53,3,frontend,productcatalogservice,frontend@POST@/cart,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,us-west-1,us-west-1,-1,-1,1.0
54,3,frontend,cartservice,frontend@POST@/cart,cartservice@POST@/hipstershop.CartService/EmptyCart,us-west-1,us-west-1,-1,-1,1.0
55,3,frontend,checkoutservice,frontend@POST@/cart,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-west-1,us-west-1,-1,-1,1.0
56,3,frontend,recommendationservice,frontend@POST@/cart,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-west-1,us-west-1,-1,-1,1.0
57,3,frontend,cartservice,frontend@POST@/cart,cartservice@POST@/hipstershop.CartService/AddItem,us-west-1,us-west-1,-1,-1,1.0
58,3,frontend,productcatalogservice,frontend@POST@/cart,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,us-west-1,us-west-1,-1,-1,1.0
59,3,frontend,cartservice,frontend@POST@/cart,cartservice@POST@/hipstershop.CartService/EmptyCart,us-west-1,us-west-1,-1,-1,1.0
60,3,frontend,checkoutservice,frontend@POST@/cart/empty,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-west-1,us-west-1,-1,-1,1.0
61,3,frontend,recommendationservice,frontend@POST@/cart/empty,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-west-1,us-west-1,-1,-1,1.0
62,3,frontend,cartservice,frontend@POST@/cart/empty,cartservice@POST@/hipstershop.CartService/AddItem,us-west-1,us-west-1,-1,-1,1.0
63,3,frontend,productcatalogservice,frontend@POST@/cart/empty,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,us-west-1,us-west-1,-1,-1,1.0
64,3,frontend,cartservice,frontend@POST@/cart/empty,cartservice@POST@/hipstershop.CartService/EmptyCart,us-west-1,us-west-1,-1,-1,1.0
65,3,checkoutservice,cartservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,cartservice@POST@/hipstershop.CartService/GetCart,us-east-1,us-east-1,-1,-1,1.0
66,3,checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-east-1,us-east-1,-1,-1,1.0
67,3,checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-east-1,us-east-1,-1,-1,1.0
68,3,checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-east-1,us-east-1,-1,-1,1.0
69,3,checkoutservice,cartservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,cartservice@POST@/hipstershop.CartService/GetCart,us-east-1,us-east-1,-1,-1,1.0
70,3,checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-east-1,us-east-1,-1,-1,1.0
71,3,checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-east-1,us-east-1,-1,-1,1.0
72,3,checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-east-1,us-east-1,-1,-1,1.0
73,3,checkoutservice,cartservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,cartservice@POST@/hipstershop.CartService/GetCart,us-east-1,us-east-1,-1,-1,1.0
74,3,checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-east-1,us-east-1,-1,-1,1.0
75,3,checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-east-1,us-east-1,-1,-1,1.0
76,3,checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-east-1,us-east-1,-1,-1,1.0
77,3,checkoutservice,cartservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,cartservice@POST@/hipstershop.CartService/GetCart,us-east-1,us-east-1,-1,-1,1.0
78,3,checkoutservice,emailservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,emailservice@POST@/hipstershop.EmailService/SendOrderConfirmation,us-east-1,us-east-1,-1,-1,1.0
79,3,checkoutservice,paymentservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,paymentservice@POST@/hipstershop.PaymentService/Charge,us-east-1,us-east-1,-1,-1,1.0
80,3,checkoutservice,shippingservice,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,shippingservice@POST@/hipstershop.ShippingService/ShipOrder,us-east-1,us-east-1,-1,-1,1.0
81,3,frontend,checkoutservice,frontend@POST@/cart/checkout,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-east-1,us-east-1,-1,-1,1.0
82,3,frontend,recommendationservice,frontend@POST@/cart/checkout,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-east-1,us-east-1,-1,-1,1.0
83,3,frontend,cartservice,frontend@POST@/cart/checkout,cartservice@POST@/hipstershop.CartService/AddItem,us-east-1,us-east-1,-1,-1,1.0
84,3,frontend,productcatalogservice,frontend@POST@/cart/checkout,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,us-east-1,us-east-1,-1,-1,1.0
85,3,frontend,cartservice,frontend@POST@/cart/checkout,cartservice@POST@/hipstershop.CartService/EmptyCart,us-east-1,us-east-1,-1,-1,1.0
86,3,frontend,checkoutservice,frontend@POST@/cart/checkout,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-east-1,us-east-1,-1,-1,1.0
87,3,frontend,recommendationservice,frontend@POST@/cart/checkout,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-east-1,us-east-1,-1,-1,1.0
88,3,frontend,cartservice,frontend@POST@/cart/checkout,cartservice@POST@/hipstershop.CartService/AddItem,us-east-1,us-east-1,-1,-1,1.0
89,3,frontend,productcatalogservice,frontend@POST@/cart/checkout,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,us-east-1,us-east-1,-1,-1,1.0
90,3,frontend,cartservice,frontend@POST@/cart/checkout,cartservice@POST@/hipstershop.CartService/EmptyCart,us-east-1,us-east-1,-1,-1,1.0
91,3,frontend,checkoutservice,frontend@POST@/cart,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-east-1,us-east-1,-1,-1,1.0
92,3,frontend,recommendationservice,frontend@POST@/cart,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-east-1,us-east-1,-1,-1,1.0
93,3,frontend,cartservice,frontend@POST@/cart,cartservice@POST@/hipstershop.CartService/AddItem,us-east-1,us-east-1,-1,-1,1.0
94,3,frontend,productcatalogservice,frontend@POST@/cart,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,us-east-1,us-east-1,-1,-1,1.0
95,3,frontend,cartservice,frontend@POST@/cart,cartservice@POST@/hipstershop.CartService/EmptyCart,us-east-1,us-east-1,-1,-1,1.0
96,3,frontend,checkoutservice,frontend@POST@/cart,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-east-1,us-east-1,-1,-1,1.0
97,3,frontend,recommendationservice,frontend@POST@/cart,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-east-1,us-east-1,-1,-1,1.0
98,3,frontend,cartservice,frontend@POST@/cart,cartservice@POST@/hipstershop.CartService/AddItem,us-east-1,us-east-1,-1,-1,1.0
99,3,frontend,productcatalogservice,frontend@POST@/cart,productcatalogservice@POST@/hipstershop.ProductCatalogService/GetProduct,us-east-1,us-east-1,-1,-1,1.0
100,3,frontend,cartservice,frontend@POST@/cart,cartservice@POST@/hipstershop.CartService/EmptyCart,us-east-1,us-east-1,-1,-1,1.0
101,3,frontend,checkoutservice,frontend@POST@/cart/empty,checkoutservice@POST@/hipstershop.CheckoutService/PlaceOrder,us-east-1,us-east-1,-1,-1,1.0
102,3,frontend,recommendationservice,frontend@POST@/cart/empty,recommendationservice@POST@/hipstershop.RecommendationService/ListRecommendations,us-east-1,us-east-1,-1,-1,1.0
103,3,frontend,cartservice,frontend@POST@/cart/empty,cartservice@POST@/hipstershop.CartService/AddItem,us-east-1,us-east-1,-1,-1,1.0
